code,name,id,level,parent.id,geometry.type,ward.parent.id,ward,subcounty.parent.id,subcounty,county.parent.id,county,mflcode,geometry.coordinates_1,geometry.coordinates_2
229,Maikona Ward,xqL0AApO6ny,6,UTGK1EllrI7,NA,UTGK1EllrI7,Maikona ,UHkc4iGio0L,North Horr ,HfVjCurKxh2,Marsabit ,229,NULL,
Keipsl12447,Mailiari Dispensary,z7bzfRvUhsE,7,uGKidNxqg3X,Point,XQP3pEOyfwE,Kianjai ,xy2ubunOGVi,Tigania West ,HfVjCurKxh2,Meru ,12447,37.71079,0.18683
Keipsl20002,Maili Saba Dispensary,f2dOdaXghnY,7,I7knFyt321Y,Point,sP5vF6WHGgO,Sirende ,oSVLBSVLtZi,Kiminini ,HfVjCurKxh2,Trans-Nzoia ,20002,35.0684,0.9514
Keipsl15109,Mailwa Dispensary,RpdHZHwKvqo,7,v9fuZ5mG6Tq,Point,rc6RSYzK7BR,Matapato south ,iO2edHMzzoa,Kajiado Central ,HfVjCurKxh2,Kajiado ,15109,36.96297,-2.32868
Keipsl15108,Mai Mahiu Health Centre,gOQusSBkyYc,7,E7zuCLZtjgL,Point,JXLPtLfLgxW,Mai mahiu ,ZFzQpYAw1RT,Naivasha Sub-County,HfVjCurKxh2,Nakuru ,15108,36.58386,-0.97728
Keipsl19139,Mai Mahiu Maternity and Hospital,SpyaDx73HFI,7,E7zuCLZtjgL,NA,JXLPtLfLgxW,Mai mahiu ,ZFzQpYAw1RT,Naivasha Sub-County,HfVjCurKxh2,Nakuru ,19139,NULL,
839,Mai mahiu Ward,E7zuCLZtjgL,6,JXLPtLfLgxW,NA,JXLPtLfLgxW,Mai mahiu ,ZFzQpYAw1RT,Naivasha Sub-County,HfVjCurKxh2,Nakuru ,839,NULL,
Keipsl15110,Maina Dispensary,ru4EoXFyQuS,7,R7FfomPTVF9,Point,UizNzGoZ5Zw,Sambirir ,kaVgIVGXcf7,Marakwet East Sub-County,HfVjCurKxh2,Elgeyo-Marakwet ,15110,35.57752,1.02885
Keipsl10671,Maina & Mwangi Health Centre,V1icRg15ic0,7,xYJuhpAg63g,Point,bYfFhfd1y8S,Weru ,mVgMb1mDaDX,Oljoroorok ,HfVjCurKxh2,Nyandarua ,10671,36.3423,-0.11858
Keipsl10672,Maina Village Dispensary,MIgMMSvRJBH,7,GgCGnsBtRN6,Point,yZjSPVAa2N5,Igwamiti ,OYaCYF6BNST,Laikipia West ,HfVjCurKxh2,Laikipia ,10672,36.35762,0.06065
Keipsl21208,Mainga Dispensary,TiDCiAJHT7A,7,OxYSfMMdGvX,Point,jeIFDhTlvUG,West Kisumu ,RP2cXnuZq8a,Kisumu West ,HfVjCurKxh2,Kisumu ,21208,34.6713,-0.0473
Keipsl17303,Mairi Dispensary,gg9QXS7pSQH,7,EAxof3HvFTq,Point,iwzrUFZI14w,Kangari ,SeUHzwEWOUn,Kigumo ,HfVjCurKxh2,Muranga ,17303,36.83134,-0.77088
Keipsl10250,Maisha House-NOSET,nCQgf7SmoWc,7,lgvfeDUW9nC,Point,WJy2R9I1bFX,Ngara ,DW4iKNGrY42,Starehe ,HfVjCurKxh2,Nairobi ,10250,36.92485,-0.57797
Keipsl19308,Maisha House VCT,vFfBCVwdUWT,7,lgvfeDUW9nC,NA,WJy2R9I1bFX,Ngara ,DW4iKNGrY42,Starehe ,HfVjCurKxh2,Nairobi ,19308,NULL,
Keipsl15988,Majengo Dispensary,Mxyqk4tFnOv,7,unVQgGR9Yzb,Point,ZpYDJk6NIX6,Lumakanda ,M0xXLu8QbHW,Lugari ,HfVjCurKxh2,Kakamega ,15988,34.751877,0.282721
Keipsl11541,Majengo Dispensary (Mombasa),GqlGEV0l5GU,7,pyKAp6q1vgA,Point,Kb0EXwbgMaF,Majengo ,S0nWEBcp4qo,Mvita ,HfVjCurKxh2,Mombasa ,11541,39.66051,-4.04839
Keipsl11542,Majengo Dispensary (Tana River),EnPCMBv5QWU,7,q38nNE7U7Nz,NA,QL97RhNUuDE,Kinakomba ,RP7IFVrrOux,Galole ,HfVjCurKxh2,Tana River ,11542,NULL,
Keipsl12448,Majengo (PCEA) Clinic,mJ6T8k4AF5k,7,LxF2BI1trDP,Point,PlzlzbptrvM,Kirimari ,h8m60u0XlJf,Manyatta ,HfVjCurKxh2,Embu ,12448,37.4546,-0.54061
30,Majengo Ward,pyKAp6q1vgA,6,Kb0EXwbgMaF,NA,Kb0EXwbgMaF,Majengo ,S0nWEBcp4qo,Mvita ,HfVjCurKxh2,Mombasa ,30,NULL,
Keipsl15111,Maji Mazuri Dispensary,SHibFUCC9KK,7,SrcWpbTwavJ,Point,SyyF3kX8qcP,Mumberes/maji mazuri ,Tbq3JMDALZt,Koibatek ,HfVjCurKxh2,Baringo ,15111,35.69514,-0.02207
Keipsl26018,Maji Mazuri Dispensary (Clay City),vOTTjflPIkT,7,BLHTF1ekikU,Point,wQ0i5BZXfi5,Clay city ,DW4iKNGrY42,Kasarani ,HfVjCurKxh2,Nairobi ,26018,36.91267,-1.22434
Keipsl11543,Majimoto Dispensary,FhonNZ5TxQF,7,zIxqxPA6EQ2,Point,CFxpg3MgSy2,Dzombo ,yBnmZCQmDeX,Lunga Lunga ,HfVjCurKxh2,Kwale ,11543,39.2944,-4.40447
Keipsl15112,Maji Moto Dispensary,B88Gksg93Zg,7,WgiFBFZRugz,Point,Owb6mx09P0g,Kisanana ,Tbq3JMDALZt,Mogotio ,HfVjCurKxh2,Baringo ,15112,36.03052,0.15998
Keipsl15113,Maji Moto Dispensary (Narok South),vNmiY29Tt3T,7,krk7sQ0DWrx,Point,VuV6A0xYYRj,Maji Moto/Naroosura ,IBZqPDOCobI,Narok South ,HfVjCurKxh2,Narok ,15113,35.7932,-1.31828
901,Maji Moto/Naroosura Ward,krk7sQ0DWrx,6,VuV6A0xYYRj,NA,VuV6A0xYYRj,Maji Moto/Naroosura ,IBZqPDOCobI,Narok South ,HfVjCurKxh2,Narok ,901,NULL,
Keipsl17891,Majira Dispensary,eQNU17FceC4,7,kSTRu5O9Rvg,Point,xJhRXnL0xhp,Chogoria ,jN4aiIfSLRL,Mwimbi ,HfVjCurKxh2,Tharaka Nithi ,17891,37.62527,-0.21229
Keipsl15114,Maji Tamu Health Centre,CSnNWdg7UC5,7,XtpFlGNBkDG,Point,tKVF0SbLFbL,Solai ,ZFzQpYAw1RT,Rongai ,HfVjCurKxh2,Nakuru ,15114,36.15748,-0.00195
Keipsl15115,Majoh Medical Clinic,ChIDXufvAJe,7,pk2HgJ62u19,Point,Xig3nAcjBoX,Sinyerere ,oSVLBSVLtZi,Cherangany ,HfVjCurKxh2,Trans-Nzoia ,15115,35.1005,1.1339
Keipsl11544,Majoreni Dispensary,JBrDFra7iEx,7,nHJt6XDI99v,Point,CFxpg3MgSy2,Pongwe Kikoneni ,yBnmZCQmDeX,Lunga Lunga ,HfVjCurKxh2,Kwale ,11544,39.2762,-4.57561
Keipsl12449,Makaani Dispensary,ovSWZCqIotJ,7,fhEfd812sqN,Point,ysaF9bWKZmv,Miambani ,zF5mSLNG4Cl,Kitui Central ,HfVjCurKxh2,Kitui ,12449,38.06991,-1.2536
Keipsl12450,Makadara Health Care,tP5r9Z3MjVI,7,rRL9iawAR7A,Point,bYYXeHOsLYE,Athi River ,XFTvFUirnjA,Athi River ,HfVjCurKxh2,Machakos ,12450,36.9838,-1.46156
Keipsl13056,Makadara Health Center,HblvgfV7rii,7,jRERdGS4Igq,Point,kcQYqBIyzT1,Maringo/hamza ,DW4iKNGrY42,Makadara ,HfVjCurKxh2,Nairobi ,13056,36.87281,-1.29665
Keipsl13057,Makadara Mercy Sisters,GKSKkYtNDDa,7,jRERdGS4Igq,Point,kcQYqBIyzT1,Maringo/hamza ,DW4iKNGrY42,Makadara ,HfVjCurKxh2,Nairobi ,13057,36.861,-1.29105
NA,Makadara Sub County,kcQYqBIyzT1,5,DW4iKNGrY42,MultiPolygon,NA,NA,DW4iKNGrY42,Makadara ,HfVjCurKxh2,Nairobi ,NA,36.8795,36.8795
26,Makadara Ward-Mji Wa Kale Ward,aXXlUzaF54t,6,Kb0EXwbgMaF,NA,Kb0EXwbgMaF,Makadara -Mji Wa Kale ,S0nWEBcp4qo,Mvita ,HfVjCurKxh2,Mombasa ,26,NULL,
Keipsl11545,Makamini Dispensary,Voult7ZQFLD,7,R4zWJAeHccN,Point,u0TwHy39CeG,Mackinon Road ,yBnmZCQmDeX,Kinango ,HfVjCurKxh2,Kwale ,11545,39.2454,-3.98457
Keipsl17346,Makande Healthcare Services,d7ziqCzyQWb,7,w9F6MWXUzPX,Point,Kb0EXwbgMaF,Ganjoni -Shimanzi ,S0nWEBcp4qo,Mvita ,HfVjCurKxh2,Mombasa ,17346,39.65629,-4.04075
Keipsl11547,Makanzani Dispensary,X568vs23Bgh,7,yEfb6HB2oO6,Point,ChBhMZTsZd6,Ruruma ,ZIMjWiBet30,Rabai ,HfVjCurKxh2,Kilifi ,11547,39.605922,-3.869356
Keipsl13758,Makararangwe Dispensary,UAKkEKmJQdG,7,jeTAbc60qca,Point,zcauWfemonG,Ntimaru west ,H9vJQr39c4B,Kuria East ,HfVjCurKxh2,Migori ,13758,34.65609,-1.33429
Keipsl12453,Makengi Dispensary (Embu),niYZBDA5gbc,7,XkZ1yDeF7oP,Point,PlzlzbptrvM,Gaturi North ,h8m60u0XlJf,Manyatta ,HfVjCurKxh2,Embu ,12453,37.51984,-0.45003
